project,IFA,Recall@20%LOC,Effort@20%Recall,AUC
activemq,62.38251366,0.365796851,0.227717064,0.694981633
camel,62.71363636,0.220489193,0.276325591,0.702708495
derby,118.734375,0.428115773,0.171755029,0.760430275
groovy,75.64516129,0.408098482,0.188989299,0.730593213
hbase,152.5,0.312196825,0.217856909,0.699446091
hive,104.6880734,0.230622801,0.257166995,0.656350485
jruby,241.1428571,0.316050835,0.268035684,0.703557051
lucene,46.94805195,0.353095165,0.187516307,0.738235082
wicket,58.64864865,0.43494456,0.19258413,0.761090013
